"sequence","support","pattern"
"<{Methotrexate}>",0.5328052085953,1
"<{Triamcinolone}>",0.36718640847235,1
"<{Fluticasone}>",0.31842568530472,1
"<{Clobetasol}>",0.269832620784084,1
"<{Adalimumab}>",0.221197641601699,1
"<{Etanercept}>",0.151507530667561,1
"<{Betamethasone}>",0.141825243803616,1
"<{Methotrexate},{Triamcinolone}>",0.130508285131472,2
"<{Hydrocortisone}>",0.127280856176824,1
"<{Ketoconazole}>",0.125799871461704,1
"<{Methotrexate},{Fluticasone}>",0.112317321932545,2
"<{Apremilast}>",0.0994774638835331,1
"<{Fluocinonide}>",0.0945315337971889,1
"<{Methotrexate},{Adalimumab}>",0.091080559979881,2
"<{Methotrexate},{Clobetasol}>",0.089725319250007,2
"<{Mometasone}>",0.0767597172157487,1
"<{Secukinumab}>",0.0723866208399698,1
"<{Fluticasone},{Triamcinolone}>",0.0714505267275826,2
"<{Triamcinolone},{Clobetasol}>",0.0615726381088105,2
"<{Triamcinolone},{Methotrexate}>",0.0595886774527063,2
"<{Triamcinolone},{Fluticasone}>",0.0581915220610836,2
"<{Methotrexate},{Etanercept}>",0.0570598261938693,2
"<{Clobetasol},{Triamcinolone}>",0.0570318830860368,2
"<{Fluticasone},{Methotrexate}>",0.0556207561404979,2
"<{Calcipotriene}>",0.0542236007488753,1
"<{Methotrexate},{Betamethasone}>",0.0521837538771062,2
"<{Clobetasol},{Methotrexate}>",0.05216978232319,2
"<{Methotrexate},{Hydrocortisone}>",0.0477407997317462,2
"<{Methotrexate},{Ketoconazole}>",0.0471679660211809,2
"<{Clobetasol},{Fluticasone}>",0.0470981082515997,2
"<{Fluticasone},{Clobetasol}>",0.0448486880710873,2
"<{Adalimumab},{Triamcinolone}>",0.0447648587475899,2
"<{Fluocinolone}>",0.0410204822980412,1
"<{Triamcinolone},{Betamethasone}>",0.0410204822980412,2
"<{Ciclopirox}>",0.0403219046022299,1
"<{Halobetasol}>",0.039777013999497,1
"<{Adalimumab},{Fluticasone}>",0.0382261715147959,2
"<{Ustekinumab}>",0.0375415653729008,1
"<{Methotrexate},{Apremilast}>",0.0367871014614245,2
"<{Adalimumab},{Methotrexate}>",0.0366194428144298,2
"<{Adalimumab},{Clobetasol}>",0.0344538519574147,2
"<{Triamcinolone},{Ketoconazole}>",0.0340766200016766,2
"<{Triamcinolone},{Hydrocortisone}>",0.033853075139017,2
"<{Clobetasol},{Betamethasone}>",0.0337413027076871,2
"<{Certolizumab}>",0.0336993880459385,1
"<{Triamcinolone},{Adalimumab}>",0.0334618716293626,2
"<{Methotrexate},{Fluocinonide}>",0.0331544974432056,2
"<{Etanercept},{Triamcinolone}>",0.0329868387962109,2
"<{Calcipotriene-Betamethasone}>",0.0327912370413837,1
"<{Methotrexate},{Secukinumab}>",0.0315198256350071,2
"<{Fluticasone},{Betamethasone}>",0.0309609634783581,2
"<{Gentamicin}>",0.0309330203705256,1
"<{Fluticasone},{Adalimumab}>",0.0309190488166094,2
"<{Clobetasol},{Adalimumab}>",0.030709475507866,2
"<{Fluticasone},{Hydrocortisone}>",0.0303182719982116,2
"<{Desonide}>",0.0299969262581384,1
